pathway_note	reaction_name	IS_reversible	substrate	product
bta00010	R00710	true	C00084	C00033
bta00010	R00710	true	C00033	C00084
bta00010	R00711	true	C00084	C00033
bta00010	R00711	true	C00033	C00084
bta00010	R00746	true	C00469	C00084
bta00010	R00746	true	C00084	C00469
bta00010	R00754	true	C00469	C00084
bta00010	R00754	true	C00084	C00469
bta00010	R00014	false	C00068 	C05125
bta00010	R00014	false	 C00022	C05125
bta00010	R03270	false	C05125 	C16255 
bta00010	R03270	false	C05125 	 C00068
bta00010	R03270	false	 C15972	C16255 
bta00010	R03270	false	 C15972	 C00068
bta00010	R02569	true	C00024 	C16255
bta00010	R02569	true	 C15973	C16255
bta00010	R02569	true	C16255	C00024 
bta00010	R02569	true	C16255	 C15973
bta00010	R00703	true	C00186	C00022
bta00010	R00703	true	C00022	C00186
bta00010	R00200	false	C00074	C00022
bta00010	R00658	true	C00631	C00074
bta00010	R00658	true	C00074	C00631
bta00010	R01518	true	C00631	C00197
bta00010	R01518	true	C00197	C00631
bta00010	R01061	true	C00118	C00236
bta00010	R01061	true	C00236	C00118
bta00010	R01015	true	C00118	C00111
bta00010	R01015	true	C00111	C00118
bta00010	R01070	true	C05378	C00118 
bta00010	R01070	true	C05378	 C00111
bta00010	R01070	true	C00118 	C05378
bta00010	R01070	true	 C00111	C05378
bta00010	R04779	false	C05345	C05378
bta00010	R04780	false	C05378	C05345
bta00010	R02740	true	C00668	C05345
bta00010	R02740	true	C05345	C00668
bta00010	R00959	true	C00103	C00668
bta00010	R00959	true	C00668	C00103
bta00010	R03321	true	C01172	C05345
bta00010	R03321	true	C05345	C01172
bta00010	R01600	false	C00221	C01172
bta00010	R01600	false	C00221	C01172
bta00010	R02739	true	C00668	C01172
bta00010	R02739	true	C01172	C00668
bta00010	R01602	true	C00267	C00221
bta00010	R01602	true	C00221	C00267
bta00010	R01786	false	C00267	C00668
bta00010	R01786	false	C00267	C00668
bta00010	R01788	false	C00668	C00267
bta00010	R07618	true	C15973	C15972
bta00010	R07618	true	C15972	C15973
bta00010	R01512	true	C00197	C00236
bta00010	R01512	true	C00236	C00197
bta00010	R00431&R00726	false	C00036	C00074
bta00010	R01516	true	C01159	C00197
bta00010	R01516	true	C00197	C01159
bta00010	R01662	true	C00236	C01159
bta00010	R01662	true	C01159	C00236
bta00010	R00235	false	C00033	C00024
bta00010	R09085	false	C00267	C00668
bta00010	R09086	true	C00221	C01172
bta00010	R09086	true	C01172	C00221
bta00010	R09532	false	C01159	C00631
bta00020	R07618	true	C15973	C15972
bta00020	R07618	true	C15972	C15973
bta00020	R00621	false	C00026 	C05381
bta00020	R00621	false	 C00068	C05381
bta00020	R03316	false	C05381 	C16254 
bta00020	R03316	false	C05381 	 C00068
bta00020	R03316	false	 C15972	C16254 
bta00020	R03316	false	 C15972	 C00068
bta00020	R02570	true	C00091 	C16254
