pathway_note	reaction_name	IS_reversible	substrate	product
sau00010	R00710	true	C00084	C00033
sau00010	R00710	true	C00033	C00084
sau00010	R00754	true	C00469	C00084
sau00010	R00754	true	C00084	C00469
sau00010	R00014	false	C00068 	C05125
sau00010	R00014	false	 C00022	C05125
sau00010	R03270	false	C05125 	C16255 
sau00010	R03270	false	C05125 	 C00068
sau00010	R03270	false	 C15972	C16255 
sau00010	R03270	false	 C15972	 C00068
sau00010	R02569	true	C00024 	C16255
sau00010	R02569	true	 C15973	C16255
sau00010	R02569	true	C16255	C00024 
sau00010	R02569	true	C16255	 C15973
sau00010	R00703	true	C00186	C00022
sau00010	R00703	true	C00022	C00186
sau00010	R00200	false	C00074	C00022
sau00010	R00658	true	C00631	C00074
sau00010	R00658	true	C00074	C00631
sau00010	R01518	true	C00631	C00197
sau00010	R01518	true	C00197	C00631
sau00010	R01061	true	C00118	C00236
sau00010	R01061	true	C00236	C00118
sau00010	R01015	true	C00118	C00111
sau00010	R01015	true	C00111	C00118
sau00010	R01070	true	C05378	C00118 
sau00010	R01070	true	C05378	 C00111
sau00010	R01070	true	C00118 	C05378
sau00010	R01070	true	 C00111	C05378
sau00010	R04779	false	C05345	C05378
sau00010	R04780	false	C05378	C05345
sau00010	R02738	false	C00031	C00668
sau00010	R02740	true	C00668	C05345
sau00010	R02740	true	C05345	C00668
sau00010	R00959	true	C00103	C00668
sau00010	R00959	true	C00668	C00103
sau00010	R03321	true	C01172	C05345
sau00010	R03321	true	C05345	C01172
sau00010	R01600	false	C00221	C01172
sau00010	R02739	true	C00668	C01172
sau00010	R02739	true	C01172	C00668
sau00010	R01602	true	C00267	C00221
sau00010	R01602	true	C00221	C00267
sau00010	R01786	false	C00267	C00668
sau00010	R07618	true	C15973	C15972
sau00010	R07618	true	C15972	C15973
sau00010	R01512	true	C00197	C00236
sau00010	R01512	true	C00236	C00197
sau00010	R05132	false	C06186	C06187
sau00010	R04394	false	C01451	C06188
sau00010	R05133	false	C06187	C01172
sau00010	R05134	false	C06188	C01172
sau00010	R00341	false	C00036	C00074
sau00010	R00235	false	C00033	C00024
sau00010	R01518	true	C00631	C00197
sau00010	R01518	true	C00197	C00631
sau00010	R01196	false	C00022	C00024
sau00020	R01197	true	C00026	C00091
sau00020	R01197	true	C00091	C00026
